appid,game_name,concurrent_players,collected_at
730,Counter-Strike 2,1295395,2025-12-30 18:03:29.259276
578080,PUBG: Battlegrounds,262033,2025-12-30 18:03:29.259276
1172470,Apex Legends,70978,2025-12-30 18:03:29.259276
570,Dota 2,710487,2025-12-30 18:03:29.259276
1778820,TEKKEN 8,6403,2025-12-30 18:03:29.259276
271590,Grand Theft Auto V,115465,2025-12-30 18:13:32.671618
1811260,EA SPORTS FC™ 26,1033,2025-12-30 18:13:32.671618
730,Counter-Strike 2,1295395,2025-12-30 18:13:32.671618
578080,PUBG: Battlegrounds,262033,2025-12-30 18:13:32.671618
1172470,Apex Legends,70978,2025-12-30 18:13:32.671618
570,Dota 2,710487,2025-12-30 18:13:32.671618
1778820,TEKKEN 8,6403,2025-12-30 18:13:32.671618
271590,Grand Theft Auto V,115639,2025-12-30 18:23:35.127859
1811260,EA SPORTS FC™ 26,1067,2025-12-30 18:23:35.127859
730,Counter-Strike 2,1301708,2025-12-30 18:23:35.127859
578080,PUBG: Battlegrounds,248135,2025-12-30 18:23:35.127859
1172470,Apex Legends,67981,2025-12-30 18:23:35.127859
570,Dota 2,709387,2025-12-30 18:23:35.127859
1778820,TEKKEN 8,6312,2025-12-30 18:23:35.127859
271590,Grand Theft Auto V,115639,2025-12-30 18:33:38.588383
1811260,EA SPORTS FC™ 26,1067,2025-12-30 18:33:38.588383
730,Counter-Strike 2,1301708,2025-12-30 18:33:38.588383
578080,PUBG: Battlegrounds,248135,2025-12-30 18:33:38.588383
1172470,Apex Legends,67981,2025-12-30 18:33:38.588383
570,Dota 2,709387,2025-12-30 18:33:38.588383
1778820,TEKKEN 8,6312,2025-12-30 18:33:38.588383
271590,Grand Theft Auto V,115413,2025-12-30 18:43:41.041182
1811260,EA SPORTS FC™ 26,1072,2025-12-30 18:43:41.041182
730,Counter-Strike 2,1307950,2025-12-30 18:43:41.041182
578080,PUBG: Battlegrounds,237560,2025-12-30 18:43:41.041182
1172470,Apex Legends,65526,2025-12-30 18:43:41.041182
570,Dota 2,708714,2025-12-30 18:43:41.041182
1778820,TEKKEN 8,6347,2025-12-30 18:43:41.041182
271590,Grand Theft Auto V,115413,2025-12-30 18:53:44.297136
1811260,EA SPORTS FC™ 26,1072,2025-12-30 18:53:44.297136
730,Counter-Strike 2,1307950,2025-12-30 18:53:44.297136
578080,PUBG: Battlegrounds,237560,2025-12-30 18:53:44.297136
1172470,Apex Legends,65526,2025-12-30 18:53:44.297136
570,Dota 2,708714,2025-12-30 18:53:44.297136
1778820,TEKKEN 8,6347,2025-12-30 18:53:44.297136
271590,Grand Theft Auto V,114749,2025-12-30 19:03:46.666652
1811260,EA SPORTS FC™ 26,1043,2025-12-30 19:03:46.666652
730,Counter-Strike 2,1310198,2025-12-30 19:03:46.666652
578080,PUBG: Battlegrounds,229998,2025-12-30 19:03:46.666652
1172470,Apex Legends,63805,2025-12-30 19:03:46.666652
570,Dota 2,707204,2025-12-30 19:03:46.666652
1778820,TEKKEN 8,6145,2025-12-30 19:03:46.666652
271590,Grand Theft Auto V,113950,2025-12-30 19:13:49.227974
1811260,EA SPORTS FC™ 26,1043,2025-12-30 19:13:49.227974
730,Counter-Strike 2,1312483,2025-12-30 19:13:49.227974
578080,PUBG: Battlegrounds,222464,2025-12-30 19:13:49.227974
1172470,Apex Legends,62199,2025-12-30 19:13:49.227974
570,Dota 2,705556,2025-12-30 19:13:49.227974
1778820,TEKKEN 8,6145,2025-12-30 19:13:49.227974
271590,Grand Theft Auto V,113950,2025-12-30 19:23:52.332129
1811260,EA SPORTS FC™ 26,991,2025-12-30 19:23:52.332129
730,Counter-Strike 2,1312483,2025-12-30 19:23:52.332129
578080,PUBG: Battlegrounds,222464,2025-12-30 19:23:52.332129
1172470,Apex Legends,62199,2025-12-30 19:23:52.332129
570,Dota 2,705556,2025-12-30 19:23:52.332129
1778820,TEKKEN 8,6120,2025-12-30 19:23:52.332129
271590,Grand Theft Auto V,112959,2025-12-30 19:33:55.039695
1811260,EA SPORTS FC™ 26,991,2025-12-30 19:33:55.039695
730,Counter-Strike 2,1314631,2025-12-30 19:33:55.039695
578080,PUBG: Battlegrounds,213337,2025-12-30 19:33:55.039695
1172470,Apex Legends,60231,2025-12-30 19:33:55.039695
570,Dota 2,703094,2025-12-30 19:33:55.039695
1778820,TEKKEN 8,6120,2025-12-30 19:33:55.039695
271590,Grand Theft Auto V,112959,2025-12-30 19:43:58.185058
1811260,EA SPORTS FC™ 26,986,2025-12-30 19:43:58.185058
730,Counter-Strike 2,1314631,2025-12-30 19:43:58.185058
578080,PUBG: Battlegrounds,213337,2025-12-30 19:43:58.185058
1172470,Apex Legends,60231,2025-12-30 19:43:58.185058
570,Dota 2,703094,2025-12-30 19:43:58.185058
1778820,TEKKEN 8,6069,2025-12-30 19:43:58.185058
271590,Grand Theft Auto V,111832,2025-12-30 19:54:00.818815
1811260,EA SPORTS FC™ 26,986,2025-12-30 19:54:00.818815
730,Counter-Strike 2,1311555,2025-12-30 19:54:00.818815
578080,PUBG: Battlegrounds,205251,2025-12-30 19:54:00.818815
1172470,Apex Legends,58765,2025-12-30 19:54:00.818815
570,Dota 2,696217,2025-12-30 19:54:00.818815
1778820,TEKKEN 8,6069,2025-12-30 19:54:00.818815
271590,Grand Theft Auto V,111832,2025-12-30 20:04:03.952330
1811260,EA SPORTS FC™ 26,960,2025-12-30 20:04:03.952330
